,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PCK1,24.891824508131748,-4.4347083010407475,0.9103963005150878,-4.871184448499692,1.1093121953922243e-06,0.0005159774617172929
KCNF1,51.12543150333492,-2.2146869182960245,0.45502477046874296,-4.867178804385899,1.1320260239519371e-06,0.0005159774617172929
TTLL6,33.5475618006854,-2.4479990405491923,0.504227758696106,-4.854946992366164,1.2041895057758769e-06,0.0005354825138855071
UGT2B4,43.36974222215824,-3.2215252998130612,0.6705374724022287,-4.804392643817222,1.55221958292465e-06,0.000673811129425767
LBP,64.84965033489415,-3.608809907447509,0.756565553123427,-4.769989715430203,1.8423532528564706e-06,0.0007811577792111435
GLDC,188.7358856725789,-2.411887588735246,0.5082285640595277,-4.745674996049114,2.078121582359839e-06,0.0008337094040316095
ALK,11.785608614683916,2.033809969842128,0.42837161538599067,4.7477701528135405,2.0567157393493572e-06,0.0008337094040316095
HSPC252,293.506330749308,0.5556267417308626,0.11714931811030167,4.742893519941051,2.106870247586097e-06,0.0008337094040316095
DACT2,266.51922462226923,-2.4843150220675327,0.5242428406488346,-4.738863041015104,2.1492069981069352e-06,0.0008337094040316095
TRPM5,11.848003367433497,-3.0359580887845463,0.643252862803264,-4.7196961946721725,2.3619713895635627e-06,0.0008788461709086301
C10orf82,3.5303697862999943,-3.7167852091224027,0.7869930670097612,-4.722767410448233,2.3265687561594205e-06,0.0008788461709086301
FFAR2,75.87426130825743,-1.943903004062491,0.4123244816231133,-4.7144981457572595,2.4230721077197784e-06,0.00088354901335894
VAX2,21.6119336526998,-1.5038460021244073,0.3203137022515569,-4.694916238529717,2.6671599081072372e-06,0.0009534835185217872
FBN2,91.38372850519586,-2.1252354516101812,0.4537479230863689,-4.6837359323970995,2.816928713089127e-06,0.0009876585441738648
GUCA2A,7.96031794137634,-4.0897044328030105,0.8798316808613939,-4.64828048564813,3.3471357009892866e-06,0.0011514146811403146
SLC15A1,135.36828832623274,-2.791719859736134,0.6038796195233878,-4.622974131730923,3.7827691114672897e-06,0.001277174934079104
APC2,15.358086054623536,1.5473668908207132,0.3356977594836672,4.609404880153803,4.038232358104381e-06,0.0013386373155083468
HEPACAM2,18.971933025472428,-2.9348552484885424,0.6375265818355239,-4.603502555201234,4.154440970803571e-06,0.0013525672817801912
FCU,96.94303954714167,1.0978815089902365,0.23888600944403085,4.595838456782718,4.310125395212952e-06,0.0013548656242331474
MDC2,32.88260762916369,1.5934144054390837,0.346465265923637,4.599059594592323,4.244023739640106e-06,0.0013548656242331474
KRT81,115.61269104125967,-2.1629355537975155,0.47148624362538594,-4.587483904442505,4.48620003489963e-06,0.0013863118480727128
STAG3,106.03372452107457,1.922006037565978,0.4208435384416533,4.56703231011458,4.946777855343377e-06,0.0015031608976436741
SLC51A,26.87709477652852,1.5870169878074596,0.34829031886009515,4.556592307823948,5.1990196675591374e-06,0.001553910271785872
GDF5,40.33953062805871,2.0075595198669998,0.44192070765066327,4.542804817949306,5.55106444524522e-06,0.0016323710800921105
SNX18,1015.324007013495,0.7345673885234477,0.16196154165536616,4.535443297313846,5.748262067393233e-06,0.0016375361564486472
ATP6V1B1,165.14013194800356,-2.0497984608107958,0.4516250008202012,-4.538717867895121,5.659730021288266e-06,0.0016375361564486472
LINC00239,22.054718439577588,-1.2903112913526078,0.28541390409665296,-4.5208424426150415,6.1594019851389834e-06,0.0017276648768162145
CRISP3,23.910389866465596,-3.7129880697414785,0.8244403902195003,-4.503646490139726,6.679728589305741e-06,0.0018452244187912466
PHOX2B,10.446759409131273,-5.231447769504471,1.1629701517201927,-4.498350849130944,6.848261530623811e-06,0.0018635448391990047
LINC03062,7.70215586301283,-1.6245015754469376,0.36273242153566315,-4.478512200727609,7.516507517320495e-06,0.0020153083096439307
LRRC37A16P,2396.8882007384077,0.7530222973783907,0.16913489423835767,4.452199534397525,8.499512721553373e-06,0.0022458422599907404
MAEL,6.729087158082642,2.501955439297115,0.5626879030635533,4.446435449696399,8.730688536928796e-06,0.002273970191504083
SERPIND1,179.0358919623992,2.3280663824640593,0.5244561368780906,4.439010660304689,9.037334078539845e-06,0.0023206855622526544
RACH1,33.88132728482808,1.449934021309144,0.32808694069120703,4.419359143812466,9.899401790066382e-06,0.002506748519951254
SMOX,349.35597828429064,-1.1242933943645814,0.2546111753149272,-4.415726815501908,1.0067115806470515e-05,0.0025142966490900058
HPGD,3324.3786126345067,1.9750140694939275,0.4499126640871446,4.3897721205540075,1.1346950534548507e-05,0.0027282589609678195
CHRM4,4.751032752232776,1.8350685084067628,0.41773531465465114,4.392897713050297,1.1184975966411676e-05,0.0027282589609678195
HOXA7,62.3999044849765,-1.4477539429717985,0.32983870492990935,-4.389278521086377,1.1372733711800916e-05,0.0027282589609678195
HS6ST3,15.13616786157153,-2.1891988116735552,0.5005544305278632,-4.373547966331894,1.2224336996609077e-05,0.0028944689885996976
