gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
NME8,8,205,8,139,0.6149847695841297,1.0,0.21113563961885065,-0.0
ZNF733P,11,202,9,138,0.8760032961337488,0.31487864133641996,0.05749425971090832,0.5018567971733224
ABHD11,1,212,2,145,0.7456564822546201,1.0,0.12746120231390273,-0.0
UBE2H,0,213,0,147,1.0,1.0,-0.0,-0.0
SLC18A1,5,208,4,143,1.0,1.0,-0.0,-0.0
DOK2,2,211,3,144,0.6745290717934915,0.6830913983096087,0.17099932776018953,0.16552118339626223
KIF13B,6,207,2,145,0.5770537361405876,0.7728299926844475,0.23878374278413164,0.11191603177295384
ADAM9,3,210,2,145,1.0,1.0,-0.0,-0.0
SNAI2,2,211,6,141,0.10425096294488535,0.5083315735521454,0.9819199248461122,0.293852914508167
RIMS2,44,169,21,126,0.15989104227361006,0.14275491258789158,0.7961758664608587,0.8454089375612541
LY6D,3,210,2,145,1.0,1.0,-0.0,-0.0
PIGO,5,208,10,137,0.07013734549788579,0.5716076449533316,1.1540506749734203,0.24290197138064135
PTBP3,4,209,1,146,0.619687652509987,1.0,0.20782715723131512,-0.0
BRINP1,14,199,11,136,0.9020858882650751,0.42034493503392867,0.044752110990422325,0.37639418126708324
SEC16A,5,208,4,143,1.0,1.0,-0.0,-0.0
CUBN,34,179,23,124,1.0,0.955491725002979,-0.0,0.019773069782286875
PTPN20,4,209,4,143,0.8652202879614997,0.4532547047537364,0.06287330563790844,0.3436576792611752
TCERG1L,10,203,4,143,0.4998030865868842,0.15472892348537853,0.30120106616972775,0.8104284960227981
DEAF1,2,211,2,145,1.0,1.0,-0.0,-0.0
IGF2,3,210,3,144,0.9665950245003128,0.5049850750938458,0.014755444700573309,0.29672145732721994
