gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
ITGAX,10,128,7,86,1.0,1.0,-0.0,-0.0
SLC5A2,1,137,5,88,0.07872305431194017,1.0,1.1038980644104426,-0.0
SLC6A10P,2,136,1,92,1.0,1.0,-0.0,-0.0
IGHV3OR16-8,2,136,2,91,1.0,1.0,-0.0,-0.0
CES5A,5,133,6,87,0.499686903554697,0.3613104285261787,0.30130203296378194,0.4421195031814602
BBS2,2,136,1,92,1.0,1.0,-0.0,-0.0
CETP,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
NLRC5,8,130,5,88,1.0,1.0,-0.0,-0.0
DRC7,3,135,2,91,1.0,1.0,-0.0,-0.0
CDH8,9,129,9,84,0.530488920577912,0.37406279749088245,0.2753236820399683,0.42705548252041986
DDX28,1,137,1,92,1.0,1.0,-0.0,-0.0
ZFP90,1,137,1,92,1.0,1.0,-0.0,-0.0
NPIPB15,1,137,0,93,1.0,1.0,-0.0,-0.0
CLEC18B,1,137,3,90,0.36022173633157495,1.0,0.44343008473124673,-0.0
CTRB2,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
CHST6,4,134,3,90,1.0,0.5637028616507731,-0.0,0.24894976046811187
CDH13,1,137,3,90,0.36022173633157495,1.0,0.44343008473124673,-0.0
SLC38A8,3,135,0,93,0.40162896798675896,1.0,0.3961749707059321,-0.0
DNAAF1,2,136,1,92,1.0,1.0,-0.0,-0.0
TCF25,2,136,2,91,1.0,1.0,-0.0,-0.0
GP1BA,1,137,0,93,1.0,1.0,-0.0,-0.0
C17orf74,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
ALOX15B,3,135,0,93,0.40162896798675896,1.0,0.3961749707059321,-0.0
MYH2,14,124,13,80,0.49612359293742936,0.34428504786236813,0.3044101197912587,0.46308183809077175
DNAH9,23,115,19,74,0.5800003439852162,0.7104122856872004,0.23657174886665422,0.148489536587534
TEKT3,2,136,2,91,1.0,1.0,-0.0,-0.0
