,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HTR2B,70.70593300945174,-1.9849976931378854,0.394392454333511,-5.033051903825998,4.827323568149004e-07,0.00023569081150976153
UPK1B,68.60700626971364,4.750195804462336,0.9523231610710526,4.988008271393837,6.10049575235877e-07,0.00029001435727989784
SLCO1B3,124.42519230202387,4.1591815010743165,0.8377363450652232,4.964785789197791,6.877693941260977e-07,0.00031857831038174247
TKTL1,19.28601280929256,4.033399107180019,0.8144618991688163,4.952225648979072,7.336945526074287e-07,0.00033135480232133
CGA,39.51460224749577,6.6648331989557485,1.3769854627183056,4.840162354218838,1.2973309860961137e-06,0.0005716166893616169
PAEP,2045.7467476104234,3.850877892901308,0.7989912975285768,4.819674387959872,1.4379271434185422e-06,0.000618479853472761
CRLF1,2435.992915145009,2.8039494113968493,0.5831279291102595,4.808463583068528,1.5209472864399255e-06,0.0006389747146404013
PBLD,283.63276851662965,-1.3648446744125282,0.28596541922893753,-4.772761259360049,1.8171715238728324e-06,0.0007460728086082436
TMEM59L,542.3359346299119,2.7357762811363657,0.5748200301355428,4.759361430900848,1.9420640022151956e-06,0.0007714621139968458
PDE1B,101.25142734996773,-1.2973365345082684,0.27271868120409776,-4.757050484331747,1.9644205504486526e-06,0.0007714621139968458
CBR1,4678.409629342571,1.795461213287677,0.37811720899372,4.748425013677432,2.0500686984850443e-06,0.0007879678944283473
MAGEA3,218.2068431855766,6.378228227854577,1.3453531714541673,4.740932242320036,2.12737075978562e-06,0.0008006448494901506
KRT83,13.032446365448997,3.5210685883542343,0.7479531879340234,4.707605562963154,2.5064349144103685e-06,0.0009240560556902717
VGR1,356.93481842333284,2.0908285129879673,0.4448129174389495,4.700467164996244,2.5956699183616055e-06,0.0009378155415040481
NAT8L,39.63494299126868,2.1641765061868594,0.46392891980074985,4.664888119318665,3.087849970630823e-06,0.0010937648964597217
FLNC,636.8103946697677,1.9703217205668362,0.4243789478649521,4.642835679006964,3.436596624790942e-06,0.001179211230779931
NTSR1,13.974705897341025,3.2064831838319967,0.690835647588666,4.641455887553135,3.459628853104697e-06,0.001179211230779931
OCA2,19.64801781659363,2.7621802165927902,0.5995915972838737,4.6067693895400765,4.089731281164721e-06,0.0013645490252866923
KRT6A,808.9352549304056,3.078269289814666,0.6686799152184084,4.60350194428858,4.154453163064936e-06,0.0013645490252866923
UCHL1,1513.2098755540605,2.2870321039396995,0.5002986268584304,4.571333961679773,4.846292067788576e-06,0.0015633618965107253
MAGEA6,285.45591620005194,5.904871050723036,1.294991233034657,4.559776854153427,5.120800551842998e-06,0.0016229344205095397
